Asociación,Actividad Subvencionada ,Importe,Justificacion requerida
AMPA ANTONIO MACHADO,TALLER FIESTA DE CARNAVAL,94.56,No
AMPA ANTONIO MACHADO,TALLER DIA DEL PADRE,39.04,No
AMPA ANTONIO MACHADO,TALLER DIA DE LA MADRE,43.64,No
AMPA ANTONIO MACHADO,FIESTA FIN DE CURSO,921,Si
AMPA ANTONIO MACHADO,CONCURSO LOGOTIPO AMPA,56.57,No
AMPA ANTONIO MACHADO,ASOCIACION FAPA ALCOBENDAS,80,No
AMPA ANTONIO MACHADO,ASOCIACION FAPA GINER DE LOS RIOS,86.79,No
AMPA ANTONIO MACHADO,FIESTA DE NAVIDAD,660,Si
AMPA ANTONIO MACHADO,HALLOWEEN,168.39,No
AMPA ANTONIO MACHADO,SAN ISIDRO,195,No
AMPA BACHILLER ALONSO LOPEZ,MATEMATICAS MANIPULATIVAS,480,Si
AMPA BACHILLER ALONSO LOPEZ,PROYECTO DE INGLES,480,Si
AMPA BACHILLER ALONSO LOPEZ,EXCURSIONES PRIMARIA,928,Si
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN INFANTIL,360,Si
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN 6 PRIM,240,No
AMPA BACHILLER ALONSO LOPEZ,REVISTA COLEGIO ENTRETIZAS,220,No
AMPA BACHILLER ALONSO LOPEZ,FIESTA INTERCULTURAL,492,Si
AMPA CASTILLA,CONCURSO TARJETAS NAVIDEÑAS,124,No
AMPA CASTILLA,TALLER COMO MEJORAR LA AUTOESTIMA DE NUESTROS HIJOS,160,No
AMPA CASTILLA,FIESTA FIN DE CURSO,840,Si
AMPA CASTILLA,"PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS",150,No
AMPA CASTILLA,FEDERACION,64,No
AMPA CASTILLA,FIESTA REYES MAGOS,460,Si
AMPA CASTILLA,CHOCOLATADA,336,Si
AMPA CASTILLA,SAN ISIDRO,163,No
AMPA CASTILLA,HALLOWEEN,160,No
AMPA CASTILLA,CARNAVAL EN LA AULAS,147.44,No
AMPA DAOIZ Y VELARDE,PLAN LECTOR,370,Si
AMPA DAOIZ Y VELARDE,CONCIERTO MUSICA DIVERTIDA,575.74,Si
AMPA DAOIZ Y VELARDE,TALLER HABILIDADES SOCIALES O TECNICAS DE ESTUDIO,220,No
AMPA DAOIZ Y VELARDE,FIESTA FIN DE CURSO,600,Si
AMPA DAOIZ Y VELARDE,GRADUACIONES INFANTIL Y SEXTO,160,No
AMPA DAOIZ Y VELARDE,AGENDAS,340,Si
AMPA DAOIZ Y VELARDE,EXPOSICION FOTOGRAFICA,198,No
AMPA DAOIZ Y VELARDE,NAVIDAD,689,Si
AMPA EMILIO CASADO,DIA DE LA MUSICA,295.67,No
AMPA EMILIO CASADO,SALIDA CULTURAL AL TEATRO,196,No
AMPA EMILIO CASADO,FESTIVAL FIN DE CURSO,247,No
AMPA EMILIO CASADO,FIESTA FIN DE CURSO,1000,Si
AMPA EMILIO CASADO,ASOCIACION FAPA GINER DE LOS RIOS,175,No
AMPA EMILIO CASADO,ASOCIACION FAPA ALCOBENDAS,77,No
AMPA EMILIO CASADO,FIESTA NAVIDAD,850,Si
AMPA EMILIO CASADO,INTERCENTROS ATLETISMO,175,No
AMPA FEDERICO GARCIA LORCA,DIA DEL LIBRO,1400,Si
AMPA FEDERICO GARCIA LORCA,TALLERES DE HALLOWEEN Y ADORNOS NAVIDAD,85,No
AMPA FEDERICO GARCIA LORCA,FIESTA FIN DE CURSO,434.06,Si
AMPA GABRIEL Y GALAN,EXCURSIONES,1151.51,Si
AMPA GABRIEL Y GALAN,HUERTO ESCOLAR,80,No
AMPA GABRIEL Y GALAN,CUENTACUENTOS,200,No
AMPA GABRIEL Y GALAN,TALLER NAVIDEÑO,120,No
AMPA GABRIEL Y GALAN,FIESTA FIN DE CURSO,480,Si
AMPA GABRIEL Y GALAN,PERIODICO,160,No
AMPA GABRIEL Y GALAN,CARNAVAL,350,Si
AMPA GABRIEL Y GALAN,SAN ISIDRO,200,No
AMPA LUIS BUÑUEL,CONCURSO FELICITACIONES DE NAVIDAD,90,No
AMPA LUIS BUÑUEL,MERCADILLO NAVIDEÑO,90,No
AMPA LUIS BUÑUEL,GRADUACION,440,Si
AMPA LUIS BUÑUEL,FIESTA FIN DE CURSO,55,No
AMPA LUIS BUÑUEL,PARTICIPACION FAPA ALCOBENDAS Y FAPA GINER DE LOS RIOS,227,No
AMPA LUIS BUÑUEL,FIESTA NAVIDAD,625,Si
AMPA LUIS BUÑUEL,SAN ISIDRO,200,No
AMPA LUIS BUÑUEL,FIESTA DE HALLOWEEN,80,No
AMPA LUIS BUÑUEL,CASTAÑADA,65,No
AMPA LUIS BUÑUEL,CARNAVAL EN LAS AULAS: MERCADILLO MEDIEVAL,209,No
AMPA MIGUEL HERNANDEZ,CERTAMEN LITERARIO Y DE DIBUJO,300,No
AMPA MIGUEL HERNANDEZ,SEMANA CULTURAL,153,No
AMPA MIGUEL HERNANDEZ,EXCURSION A MADRID,504,Si
AMPA MIGUEL HERNANDEZ,EXCURSION A SIERRA DE GUADARRAMA,293,No
AMPA MIGUEL HERNANDEZ,CONCURSO DE TARJETAS NAVIDEÑAS,150,No
AMPA MIGUEL HERNANDEZ,PARTICIPACION FESTIVAL FAPA,12,No
AMPA MIGUEL HERNANDEZ,FESTIVAL FIN CURSO,287,No
AMPA MIGUEL HERNANDEZ,ENTREGA DE ORLAS 3º INFANTIL,100,No
AMPA MIGUEL HERNANDEZ,PARTICIPACION EN FEDERACIONES,80,No
AMPA MIGUEL HERNANDEZ,VISITA REYES MAGOS,530,Si
AMPA MIGUEL HERNANDEZ,FIESTA NAVIDAD,475,Si
AMPA MIGUEL HERNANDEZ,TORNEOS DEPORTIVOS,39.35,No
AMPA MIRAFLORES,SALIDA CULTURAL SAFARI,1500,Si
AMPA MIRAFLORES,FIESTA FIN DE CURSO,560,Si
AMPA MIRAFLORES,CUENTOS EN MIRAFLORES,400,Si
AMPA MIRAFLORES,FIESTA DE NAVIDAD,327.21,Si
AMPA PARQUE CATALUÑA,CONCURSO DE TARJETAS NAVIDEÑAS,290,No
AMPA PARQUE CATALUÑA,FUTBOL,95,No
AMPA PARQUE CATALUÑA,MULTIDEPORTE,400,Si
AMPA PARQUE CATALUÑA,GRADUACIÓN,130,No
AMPA PARQUE CATALUÑA,FIESTA FIN DE CURSO,995,Si
AMPA PARQUE CATALUÑA,PARTICIPACIÓN FAPA,64,No
AMPA PARQUE CATALUÑA,NAVIDAD,455,Si
AMPA PARQUE CATALUÑA,DIA DEL LIBRO,175.44,No
AMPA PROFESOR TIERNO GALVÁN,FIESTA FIN DE CURSO,300,No
AMPA PROFESOR TIERNO GALVÁN,FAPA,80,No
AMPA PROFESOR TIERNO GALVÁN,DIA DEL LIBRO,306,Si
AMPA PROFESOR TIERNO GALVÁN,DIA DE SAN ISIDRO,100,No
AMPA PROFESOR TIERNO GALVÁN,CONCURSO DE CHRISTMAS,250,No
AMPA PROFESOR TIERNO GALVÁN,FIESTA NAVIDAD,250,No
AMPA SEIS DE DICIEMBRE,EXCURSION GRANJA TALAMANCA,476,Si
AMPA SEIS DE DICIEMBRE,NAVIDAD,320,Si
AMPA SEIS DE DICIEMBRE,CUENTACUENTOS AMBIENTALES,280,No
AMPA SEIS DE DICIEMBRE,FIN DE CURSO,256,No
AMPA SEIS DE DICIEMBRE,FESTIVAL FIN DE CURSO,100,No
AMPA SEIS DE DICIEMBRE,AGENDA ESCOLAR,518,Si
AMPA VALDEPALITOS,VISITA MUSEO DEL VIDRIO,385.5,Si
AMPA VALDEPALITOS,SALIDAS CULTURALES EN FAMILIA,490,Si
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DISFRACES,190,No
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DANZA ESPAÑOLA,190,No
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DANZA MODERNA,90,No
AMPA VALDEPALITOS,FIESTA FIN DE CURSO,690,Si
AMPA VALDEPALITOS,FESTIVAL DANZA Y TEATRO,210,No
AMPA VALDEPALITOS,CEREMONIA GRADUACION 6º PRIMARIA,170,No
AMPA VALDEPALITOS,ORLA PARA 6º PRIMARIA,110,No
AMPA VALDEPALITOS,CEREMONIA GRADUACION INFANTIL,180,No
AMPA VALDEPALITOS,BOLETIN APA,260,No
AMPA VALDEPALITOS,PARTICIPACION FAPA ALCOBENDAS,64,No
AMPA VALDEPALITOS,PARTICIPACION FESTIVAL FAPA,260,No
AMPA VALDEPALITOS,PARTICIPACION FAPA GINER DE LOS RIOS,160,No
AMPA VALDEPALITOS,FIESTA DE NAVIDAD,180,No
AMPA VALDEPALITOS,TORNEO MULTIDEPORTE,120,No
AMPA VALDEPALITOS,SEMANA CULTURAL,180,No
AMPA LA CHOPERA,SEMANA DEL LIBRO,990,Si
AMPA LA CHOPERA,TALLER DE MUSICA,120,No
AMPA LA CHOPERA,FIESTA GRADUACION,320,Si
AMPA EL CUQUILLO,SEMANA DEL LIBRO,610,Si
AMPA EL CUQUILLO,DIA DE LA INFANCIA,150,No
AMPA EL CUQUILLO,FIESTA FIN DE CURSO Y GRADUACION,368,Si
AMPA EL CUQUILLO,FIESTA NAVIDAD,379.83,Si
AMPA VALDELAPARRA,SEMANA DEL LIBRO Y FERIA DEL LIBRO,685,Si
AMPA VALDELAPARRA,EL HUERTO,70,No
AMPA VALDELAPARRA,TALLER DEL NIDO,95,No
AMPA VALDELAPARRA,FIESTA GRADUACION,670,Si
AMPA VALDELAPARRA,QUERIDOS REYES MAGOS,590,Si
AMPA VALDELAPARRA,FERIA DE LAS ASOCIACIONES,150,No
AMPA VALDELAPARRA,SAN ISIDRO,205,No
AMPA RIVENDEL,DIA DE LA PAZ,230,No
AMPA RIVENDEL,SEMANA CULTURAL Y DIA DEL LIBRO,794,Si
AMPA RIVENDEL,VISITA GRANJA ESCUELA,115,No
AMPA RIVENDEL,FIESTA FIN DE CURSO,700,Si
AMPA RIVENDEL,PERTENENCIA A LA FAPA,64,No
AMPA RIVENDEL,CARNAVAL,157,No
AMPA RIVENDEL,BELEN NAVIDEÑO,40,No
AMPA RIVENDEL,FIESTA DE NAVIDAD,100,No
AMPA AGORA,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVICENCIA",501.67,Si
AMPA AGORA,ANIMACION A LA LECTURA,560,Si
AMPA AGORA,SALIDA AL TEATRO,240,No
AMPA AGORA,EXCURSION CULTURAL VISITA CORRALAS DE MADRID,120,No
AMPA AGORA,CONCURSO FOTOGRAFICO CONSTITUCION,160,No
AMPA AGORA,ACTO DE GRADUACIÓN,300,No
AMPA AGORA,INTERCAMBIO DE LIBROS DE TEXTO,80,No
AMPA AGORA,JORNADA DE CONVIVENCIA,250,No
AMPA AGORA,MILLA ESCOLAR,210,No
AMPA ALDEBARAN,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVIVENCIA",980.05,Si
AMPA ALDEBARAN,ANIMACION A LA LECTURA,302,Si
AMPA ALDEBARAN,PRACTICANDO IDIOMAS,278,No
AMPA ALDEBARAN,CONCURSO DE TARJETAS NAVIDEÑAS,190,No
AMPA ALDEBARAN,GRADUACION ALUMNOS BACHILLER,220,No
AMPA ALDEBARAN,BOLETIN INFORMATIVO,587,Si
AMPA ALDEBARAN,PARTICIPACION EN FAPAS,260,No
AMPA ALDEBARAN,TALLER CHAPAS E IMANES,290,No
AMPA GINER DE LOS RIOS,CERTAMEN TARJETA NAVIDAD,673,Si
AMPA GINER DE LOS RIOS,CERTAMEN DE RELATO Y POESIA,320,Si
AMPA GINER DE LOS RIOS,CERTAMEN RECREANDO EL JARDIN DEL GINER,160,No
AMPA GINER DE LOS RIOS,CERTAMEN ENSAYO FILOSOFICO RAQUEL PUSZKIN,120,No
AMPA GINER DE LOS RIOS,CEREMONIA GRADUACION BACHILLERATO,270,No
AMPA GINER DE LOS RIOS,LIBRO DE RELATO Y POESIAS LA PLUMA LITERARIA,290,No
AMPA GINER DE LOS RIOS,PARTICIPACION FAPA ALCOBENDAS Y FAPA MADRID,225,No
AMPA SEVERO OCHOA,TALLER DE MOTIVACION Y AUTOESTIMA,981.97,Si
AMPA SEVERO OCHOA,TALLER DE TECNICAS DE ESTUDIO,600,Si
AMPA SEVERO OCHOA,CONFERENCIA COLOQUIO SOBRE PREVENCION DEL FRACASO ESCOLAR,450,Si
AMPA SEVERO OCHOA,EXPOSICION Y EDICION ALBUM FOTOGRAFICO INTERCAMBIO EEUU,340,Si
AMPA SEVERO OCHOA,EXCURSION FIN DE CURO A PARQUE ECO-AVENTURA,480,Si
AMPA SEVERO OCHOA,GRADUACION CICLOS Y BACHILLERATOS,240,No
AMPA SEVERO OCHOA,FERIA DE ASOCIACIONES DE ALCOBENDAS,40,No
AMPA SEVERO OCHOA,PERTENENCIA A FAPA ALCOBENDAS,64,No
AMPA SEVERO OCHOA,TORNEO DE AJEDREZ,48,No
AMPA SEVERO OCHOA,FIESTA DE NAVIDAD,320,Si
AMPA VIRGEN DE LA PAZ,JORNADA LUDICO DEPORTIVA FIN DE CURSO,927.45,Si
AMPA VIRGEN DE LA PAZ,PARTICIPACION FAPA ALCOBENDAS Y GINER DE LOS RIOS,176,No
AMPA VIRGEN DE LA PAZ,ACTO DE GRADUACIÓN,121,No
AMPA VIRGEN DE LA PAZ,PARTICIPACION EN FERIA DE LAS ASOCIACIONES,40,No
AMPA VIRGEN DE LA PAZ,TORNEO DEPORTIVO FUTBOL SALA,152,No
AMPA JUAN XXIII,TALLER DE MANUALIDADES,800,Si
AMPA JUAN XXIII,TALLER DE JUEGOS DIDACTICOS,448,Si
AMPA JUAN XXIII,TALLER DE MAGIA,533.98,Si
AMPA SAN ANTONIO,GRANJA ESCUELA,895,Si
AMPA SAN ANTONIO,VISITA AL PARQUE DE AVENTURAS AMAZONIA,576,Si
AMPA SAN ANTONIO,ASISTENCIA AL CIRCO MUNDIAL,630.83,Si
AMPA PADRE  MANYANET,FERIA DE LA SEMANA CULTURAL,800,Si
AMPA PADRE  MANYANET,BIBLIOTECA DE EDUCACION PRIMARIA DE LA APA,803.82,Si
AMPA PADRE  MANYANET,FERIA DE ROBOTICA,720,Si
AMPA PADRE  MANYANET,LUDOTECA FIESTA FIN DE CURSO,372,Si
AMPA FAPA,JORNADA FAPA-APAS: ENCUENTROS DE PARTICIPACION,720,Si
AMPA FAPA,25 ANIVERSARIO FAPA ALCOBENDAS,1515,Si
AMPA FAPA,"REVISTA DE LA FEDERACION ""LA ESCUELA EN ALCOBENDAS",963.43,Si
